name,parent,category,a_au,a_km,e,i_deg,w_deg,node_deg,m_deg,period_days,mass_10_24_kg,radius_km,pole_ra_deg,pole_dec_deg,pole_ra_rate_deg_per_cy,pole_dec_rate_deg_per_cy,pm_w_deg,pm_w_rate_deg_per_day,symbol
SUN,SUN,PLANET,0,,0,0,0,0,0,,1988500,696350,286.13,63.87,0,0,84.176,14.1844,☉
MERCURY,SUN,PLANET,0.38709927,,0.20563593,7.00497902,77.45779628,48.33076593,126.46176129000001,,0.33,2439.5,281.0103,61.4155,-0.0328,-0.0049,329.5988,6.1385108,☿
VENUS,SUN,PLANET,0.72333566,,0.00677672,3.39467605,131.53298,76.67984255,-26.233723050000023,,4.87,6052,272.76,67.16,0,0,160.2,-1.4813688,♀
EARTH,SUN,PLANET,1.00000261,,0.01671123,0.00005,102.94719,0,-2.48284000000001,,5.97,6378,0,90,-0.641,-0.557,190.147,360.9856235,⊕
MARS,SUN,PLANET,1.52366231,,0.09341233,1.85061,336.04084,49.57854,-30.16605999999998,,0.642,3396,317.269202,54.432516,-0.10927547,-0.05827105,176.049863,350.891982443297,♂
JUPITER,SUN,PLANET,5.20336301,,0.04839266,1.3053,14.75385,100.55615,-80.90562,,1898,71492,268.056595,64.495303,-0.006499,0.002413,284.95,870.536,♃
SATURN,SUN,PLANET,9.53707032,,0.0541506,2.48446,92.43194,113.71504,-156.20266,,568,60268,40.589,83.537,-0.036,-0.004,38.9,810.7939024,♄
URANUS,SUN,PLANET,19.19126393,,0.04716771,0.76986,170.96424,74.22988,68.03806000000004,,86.8,25559,257.311,-15.175,0,0,203.81,-501.1600928,⛢
NEPTUNE,SUN,PLANET,30.06896348,,0.00858587,1.76917,44.97135,131.72169,-231.81306899999998,,102,24764,299.36,43.46,0,0,249.978,541.1397757,♆
